id_siniestro,id_poliza,id_asegurado,id_vehiculo,id_conductor,ramo,cobertura,fecha_ocurrencia,fecha_reporte,monto_reclamado,monto_estimado,monto_pagado,estado,sucursal,descripcion,documentos_completos,id_proveedor,beneficiario,dias_desde_inicio_poliza,dias_desde_fin_poliza,dias_entre_ocurrencia_reporte,historial_siniestros_asegurado,etiqueta_fraude_simulada
SIN-000012,POL-00286,ASG-00125,VEH-00018,ASG-00114,Generales,Responsabilidad Civil,2024-06-12,2024-06-17,34832.44,25790.69,0.0,Anticipo,Sierra,"El vehículo fue robado, no hay testigos ni cámaras, la denuncia se hizo varios días después.",Sí,PRV-0006,Taller Riobamba #6,327,38,5,1,1
SIN-000013,POL-00203,ASG-00220,,ASG-00220,Salud,Atención Médica,2023-04-30,2023-05-04,21436.23,18921.48,16415.17,Pago Parcial,Costa,Inundación por tubería rota que afectó pisos y paredes del primer nivel.,Sí,PRV-0015,Perito Portoviejo #15,109,256,4,0,0
SIN-000014,POL-00166,ASG-00196,,ASG-00056,Hogar,Incendio,2023-12-22,2023-12-25,7877.22,6700.33,6365.44,Pago Parcial,Oriente,"Incendio en cocina del domicilio, daños en muebles y estructura.",Sí,PRV-0011,Perito Portoviejo #11,171,194,3,1,0
SIN-000015,POL-00207,ASG-00003,VEH-00332,ASG-00028,Salud,Hospitalización,2025-01-14,2025-01-19,11785.14,8106.25,6651.55,Cierre Sin Consecuencia,Sur,"El asegurado fue víctima de asalto, le sustrajeron el vehículo con amenaza.",Sí,PRV-0010,Grúa Esmeraldas #10,118,247,5,3,0
SIN-000016,POL-00326,ASG-00117,VEH-00024,ASG-00117,Vida,Fallecimiento,2024-11-29,2024-12-04,7564.87,5479.63,5381.0,Anticipo,Sur,Daños en techo por caída de árbol durante tormenta eléctrica.,Sí,PRV-0009,Perito Riobamba #9,210,155,5,0,0
SIN-000017,POL-00264,ASG-00073,,ASG-00073,Salud,Atención Médica,2024-01-31,2024-02-04,1544.67,1101.92,0.0,Anticipo,Sierra,Volcadura en carretera rural por exceso de velocidad según informe de tránsito.,Sí,PRV-0011,Perito Portoviejo #11,152,213,4,1,0
SIN-000018,POL-00054,ASG-00068,VEH-00020,ASG-00179,Generales,Robo,2025-01-29,2025-01-30,5910.25,4314.41,3723.13,Pago Total,Norte,Inundación por tubería rota que afectó pisos y paredes del primer nivel.,Sí,PRV-0012,Taller Machala #12,51,314,1,0,0
SIN-000019,POL-00297,ASG-00210,VEH-00195,ASG-00210,Generales,Incendio,2024-02-07,2024-02-09,6492.73,6731.99,0.0,Negativa,Costa,Incendio del vehículo de origen eléctrico según informe del perito.,Sí,PRV-0001,Abogado Ibarra #1,50,315,2,4,0
SIN-000020,POL-00034,ASG-00110,,ASG-00110,Generales,Incendio,2024-05-21,2024-05-24,69085.45,67137.91,65819.16,Pago Parcial,Costa,"Consulta médica por cuadro respiratorio, derivado a especialista.",Sí,PRV-0019,Taller Esmeraldas #19,41,324,3,1,0
SIN-000021,POL-00017,ASG-00137,VEH-00128,ASG-00137,Salud,Atención Médica,2025-11-08,2025-11-09,29030.11,31695.39,28369.74,Anticipo,Sierra,"Choque frontal sin testigos en zona solitaria durante la noche, el otro vehículo huyó.",Sí,PRV-0030,Taller Guayaquil #30,358,7,1,3,1
SIN-000022,POL-00162,ASG-00085,VEH-00245,ASG-00085,Hogar,Desastres Naturales,2024-03-08,2024-03-13,7449.66,8078.35,6715.88,Liquidado,Centro,Impacto frontal contra poste de alumbrado al intentar esquivar un peatón.,Sí,PRV-0019,Taller Esmeraldas #19,300,65,5,3,0
SIN-000023,POL-00028,ASG-00154,,ASG-00154,Hogar,Desastres Naturales,2025-06-21,2025-06-23,88715.25,91793.85,83727.36,Negativa,Sierra,"El vehículo fue robado, no hay testigos ni cámaras, la denuncia se hizo varios días después.",Sí,PRV-0025,Perito Ibarra #25,292,73,2,1,1
SIN-000024,POL-00109,ASG-00173,VEH-00192,ASG-00173,Generales,Incendio,2024-08-15,2024-08-18,26062.29,20679.96,19014.86,Liquidado,Centro,"El paciente acudió a emergencia por dolor abdominal agudo, requirió cirugía.",Sí,PRV-0018,Clínica Riobamba #18,317,48,3,1,0
SIN-000025,POL-00124,ASG-00173,VEH-00192,ASG-00173,Vida,Fallecimiento,2025-04-26,2025-04-29,32828.04,32719.01,32005.45,Cierre Sin Consecuencia,Centro,El asegurado reporta que un vehículo no identificado impactó su auto estacionado.,Sí,PRV-0018,Clínica Riobamba #18,202,163,3,1,0
SIN-000026,POL-00182,ASG-00222,VEH-00286,ASG-00222,Vida,Enfermedad Grave,2025-01-19,2025-01-20,58132.38,63222.81,62702.2,Pago Parcial,Costa,Daños en la parte trasera del vehículo por choque en cadena en hora pico.,Sí,PRV-0032,Hospital Ambato #32,135,230,1,1,0
SIN-000027,POL-00217,ASG-00168,VEH-00190,ASG-00168,Generales,Daño,2024-11-02,2024-11-02,11781.74,8560.75,8312.37,Cierre Sin Consecuencia,Norte,El asegurado reporta que un vehículo no identificado impactó su auto estacionado.,Sí,PRV-0006,Taller Riobamba #6,279,86,0,2,0
SIN-000028,POL-00175,ASG-00035,,ASG-00035,Vida,Enfermedad Grave,2024-09-18,2024-09-19,1863.24,1746.73,1575.36,Cierre Sin Consecuencia,Costa,"Choque por alcance en semáforo, el conductor de atrás no frenó a tiempo.",Sí,PRV-0003,Abogado Santo Domingo #3,261,104,1,0,0
SIN-000029,POL-00294,ASG-00110,,ASG-00124,Salud,Hospitalización,2023-11-01,2023-11-01,16101.84,10191.28,9650.16,Reserva,Norte,"Daño por granizo severo que afectó capó, techo y panel lateral.",Sí,PRV-0032,Hospital Ambato #32,200,165,0,1,0
SIN-000030,POL-00138,ASG-00009,VEH-00259,ASG-00009,Vehículos,Pérdida Total por Robo (PTxRB),2024-03-05,2024-03-10,47898.67,33608.72,0.0,Cierre Sin Consecuencia,Norte,Se reporta robo del vehículo estacionado frente al domicilio del asegurado durante la noche.,Sí,PRV-0026,Intermediario Manta #26,97,268,5,0,0
SIN-000031,POL-00239,ASG-00033,,ASG-00033,Vida,Fallecimiento,2023-05-31,2023-06-03,12076.77,11803.81,11176.24,Pago Total,Costa,Hospitalización por fractura de fémur tras caída en el trabajo.,Sí,PRV-0006,Taller Riobamba #6,49,316,3,1,0
SIN-000032,POL-00043,ASG-00099,VEH-00034,ASG-00099,Vida,Enfermedad Grave,2024-03-19,2024-03-19,7304.52,7624.39,6369.92,Reserva,Norte,Robo de electrodomésticos en domicilio durante vacaciones del asegurado.,Sí,PRV-0022,Clínica Cuenca #22,188,177,0,0,0
SIN-000033,POL-00164,ASG-00197,VEH-00248,ASG-00197,Vida,Enfermedad Grave,2025-01-07,2025-01-10,26113.08,21339.24,19204.82,Negativa,Centro,Hospitalización por fractura de fémur tras caída en el trabajo.,Sí,PRV-0012,Taller Machala #12,123,242,3,0,0
SIN-000034,POL-00231,ASG-00020,,ASG-00020,Vehículos,Volcadura,2025-05-14,2025-05-18,18618.69,20157.39,16425.69,Reserva,Centro,Hospitalización por fractura de fémur tras caída en el trabajo.,Sí,PRV-0005,Intermediario Cuenca #5,180,185,4,1,0
SIN-000035,POL-00117,ASG-00193,VEH-00126,ASG-00193,Vehículos,Daño Parcial,2024-02-20,2024-02-25,3435.21,3318.92,2769.63,Liquidado,Centro,Robo de electrodomésticos en domicilio durante vacaciones del asegurado.,Sí,PRV-0005,Intermediario Cuenca #5,286,79,5,1,0
SIN-000036,POL-00219,ASG-00008,VEH-00044,ASG-00008,Hogar,Daño por Agua,2025-09-04,2025-09-08,1610.66,1338.48,1198.56,Reserva,Sierra,Incendio del vehículo de origen eléctrico según informe del perito.,Sí,PRV-0017,Hospital Ibarra #17,273,92,4,1,0
SIN-000037,POL-00100,ASG-00192,,ASG-00192,Vehículos,Robo,2024-04-01,2024-04-05,25420.86,17911.87,0.0,Anticipo,Sur,"Robo del vehículo en estacionamiento del centro comercial, no hay cámaras disponibles.",Sí,PRV-0031,Perito Loja #31,294,71,4,1,0
SIN-000038,POL-00195,ASG-00179,VEH-00036,ASG-00179,Hogar,Robo,2024-09-03,2024-09-04,18614.46,19145.19,0.0,Negativa,Centro,Se reporta robo del vehículo estacionado frente al domicilio del asegurado durante la noche.,Sí,PRV-0001,Abogado Ibarra #1,105,260,1,1,0
SIN-000039,POL-00324,ASG-00126,VEH-00064,ASG-00049,Hogar,Desastres Naturales,2024-03-30,2024-04-03,14298.66,9242.45,8567.55,Liquidado,Sierra,"Choque por alcance en semáforo, el conductor de atrás no frenó a tiempo.",Sí,PRV-0026,Intermediario Manta #26,247,118,4,0,0
SIN-000040,POL-00098,ASG-00237,VEH-00002,ASG-00237,Generales,Robo,2023-11-20,2023-11-23,5324.32,4897.5,0.0,Negativa,Oriente,Hospitalización por fractura de fémur tras caída en el trabajo.,Sí,PRV-0025,Perito Ibarra #25,91,274,3,1,0
SIN-000041,POL-00205,ASG-00229,VEH-00153,ASG-00229,Salud,Atención Médica,2023-06-22,2023-06-22,59634.7,44762.84,0.0,Cierre Sin Consecuencia,Costa,"Accidente en vía mojada, el vehículo perdió tracción y colisionó contra la baranda.",Sí,PRV-0007,Perito Ambato #7,63,302,0,0,0
SIN-000042,POL-00292,ASG-00099,VEH-00034,ASG-00156,Vida,Incapacidad,2024-10-07,2024-10-12,40616.65,35275.69,31746.72,Reserva,Sierra,Volcadura en carretera rural por exceso de velocidad según informe de tránsito.,Sí,PRV-0012,Taller Machala #12,267,98,5,0,0
SIN-000043,POL-00272,ASG-00238,VEH-00138,ASG-00238,Vehículos,Volcadura,2023-11-21,2023-11-25,26322.32,21176.03,19169.85,Liquidado,Norte,"Choque por alcance en semáforo, el conductor de atrás no frenó a tiempo.",Sí,PRV-0019,Taller Esmeraldas #19,110,255,4,1,0
SIN-000044,POL-00159,ASG-00187,VEH-00031,ASG-00187,Vehículos,Robo,2024-02-18,2024-02-22,36253.85,26418.0,0.0,Liquidado,Oriente,"Daño por granizo severo que afectó capó, techo y panel lateral.",Sí,PRV-0002,Abogado Quito #2,116,249,4,1,0
SIN-000045,POL-00087,ASG-00007,VEH-00063,ASG-00007,Salud,Atención Médica,2024-06-21,2024-06-24,58046.45,59074.82,0.0,Negativa,Sur,Robo de electrodomésticos en domicilio durante vacaciones del asegurado.,Sí,PRV-0007,Perito Ambato #7,105,260,3,1,0
SIN-000046,POL-00216,ASG-00093,VEH-00004,ASG-00093,Salud,Atención Médica,2025-07-11,2025-07-16,5407.39,5319.03,4964.35,Cierre Sin Consecuencia,Sierra,"Robo del vehículo en estacionamiento del centro comercial, no hay cámaras disponibles.",Sí,PRV-0026,Intermediario Manta #26,334,31,5,0,0
SIN-000047,POL-00224,ASG-00147,VEH-00157,ASG-00147,Vida,Incapacidad,2025-03-19,2025-03-20,7996.06,5344.7,5158.26,Pago Total,Sierra,El asegurado reporta que un vehículo no identificado impactó su auto estacionado.,Sí,PRV-0018,Clínica Riobamba #18,212,153,1,0,0
SIN-000048,POL-00059,ASG-00184,,ASG-00046,Hogar,Daño por Agua,2024-06-27,2024-07-02,19994.52,21750.09,21748.81,Liquidado,Centro,"Robo del vehículo en estacionamiento del centro comercial, no hay cámaras disponibles.",Sí,PRV-0015,Perito Portoviejo #15,154,211,5,0,0
SIN-000049,POL-00086,ASG-00062,,ASG-00062,Hogar,Incendio,2024-08-20,2024-08-21,59009.07,39100.66,0.0,Pago Total,Sur,Colisión lateral en la autopista debido a cambio de carril imprudente del otro conductor.,Sí,PRV-0021,Hospital Riobamba #21,200,165,1,0,0
SIN-000050,POL-00238,ASG-00176,VEH-00152,ASG-00176,Salud,Atención Médica,2025-04-28,2025-05-03,13443.75,10015.28,8814.36,Liquidado,Oriente,El asegurado reporta que un vehículo no identificado impactó su auto estacionado.,Sí,PRV-0002,Abogado Quito #2,242,123,5,0,0
SIN-000051,POL-00114,ASG-00174,VEH-00001,ASG-00174,Salud,Atención Médica,2024-08-25,2024-08-26,19910.42,20295.13,19721.57,Pago Parcial,Centro,El vehículo fue impactado por otro automóvil en la intersección de la Av. Principal con calle secundaria.,Sí,PRV-0027,Abogado Ambato #27,96,269,1,2,0
SIN-000052,POL-00206,ASG-00072,VEH-00220,ASG-00072,Vida,Enfermedad Grave,2025-06-19,2025-06-23,26877.14,23562.48,21738.0,Liquidado,Norte,Robo de electrodomésticos en domicilio durante vacaciones del asegurado.,Sí,PRV-0028,Hospital Machala #28,328,37,4,0,0
SIN-000053,POL-00111,ASG-00081,VEH-00211,ASG-00081,Generales,Responsabilidad Civil,2024-07-07,2024-07-12,41874.28,26983.98,25338.84,Pago Total,Sur,"Incendio en cocina del domicilio, daños en muebles y estructura.",Sí,PRV-0007,Perito Ambato #7,161,204,5,0,0
SIN-000054,POL-00295,ASG-00149,VEH-00186,ASG-00175,Salud,Cirugía,2025-02-01,2025-02-05,26792.58,27477.92,27166.21,Negativa,Costa,"Robo del vehículo en estacionamiento del centro comercial, no hay cámaras disponibles.",Sí,PRV-0031,Perito Loja #31,155,210,4,1,0
SIN-000055,POL-00014,ASG-00082,VEH-00012,ASG-00082,Hogar,Daño por Agua,2023-10-24,2023-11-06,17860.16,12596.36,11039.07,Reserva,Sur,Pérdida total por volcadura en vía recta sin obstáculos visibles según fotos del lugar.,Sí,PRV-0016,Abogado Guayaquil #16,198,167,13,0,1
SIN-000056,POL-00222,ASG-00209,VEH-00234,ASG-00209,Salud,Hospitalización,2024-01-26,2024-01-29,20170.23,18698.19,16474.68,Negativa,Oriente,Robo de electrodomésticos en domicilio durante vacaciones del asegurado.,Sí,PRV-0032,Hospital Ambato #32,235,130,3,3,0
SIN-000057,POL-00148,ASG-00232,,ASG-00232,Vida,Fallecimiento,2024-05-23,2024-05-23,5832.85,3884.23,3362.83,Anticipo,Costa,"Choque por alcance en semáforo, el conductor de atrás no frenó a tiempo.",Sí,PRV-0030,Taller Guayaquil #30,49,316,0,2,0
SIN-000058,POL-00286,ASG-00125,VEH-00018,ASG-00125,Generales,Incendio,2024-04-01,2024-04-02,52022.31,39710.23,35926.78,Cierre Sin Consecuencia,Sierra,Incendio del vehículo de origen eléctrico según informe del perito.,Sí,PRV-0010,Grúa Esmeraldas #10,255,110,1,1,0
SIN-000059,POL-00225,ASG-00092,VEH-00127,ASG-00092,Vida,Enfermedad Grave,2024-10-22,2024-10-26,25443.06,18362.04,17145.22,Liquidado,Oriente,"Robo del vehículo reportado días después, sin denuncia policial inmediata.",Sí,PRV-0022,Clínica Cuenca #22,16,349,4,1,1
SIN-000060,POL-00052,ASG-00178,,ASG-00178,Vehículos,Pérdida Total,2024-10-30,2024-11-01,31535.16,31602.89,31123.22,Pago Parcial,Sierra,Incendio del vehículo de origen eléctrico según informe del perito.,Sí,PRV-0007,Perito Ambato #7,38,327,2,3,0
SIN-000061,POL-00229,ASG-00042,,ASG-00042,Hogar,Desastres Naturales,2025-08-29,2025-08-31,66291.27,69777.02,63585.1,Reserva,Oriente,Pérdida total del vehículo por incendio de origen desconocido sin causa aparente.,No,PRV-0019,Taller Esmeraldas #19,286,79,2,0,1
SIN-000062,POL-00281,ASG-00076,VEH-00106,ASG-00004,Salud,Hospitalización,2025-01-06,2025-01-08,41712.23,36717.1,35121.33,Pago Parcial,Norte,"Choque por alcance en semáforo, el conductor de atrás no frenó a tiempo.",Sí,PRV-0026,Intermediario Manta #26,209,156,2,0,0
SIN-000063,POL-00326,ASG-00117,VEH-00024,ASG-00117,Vida,Enfermedad Grave,2024-06-08,2024-06-13,5829.43,3720.08,3196.26,Pago Parcial,Oriente,Inundación por tubería rota que afectó pisos y paredes del primer nivel.,Sí,PRV-0009,Perito Riobamba #9,36,329,5,0,0
SIN-000064,POL-00241,ASG-00134,VEH-00032,ASG-00134,Vida,Enfermedad Grave,2025-03-03,2025-03-06,49890.18,52859.75,46597.29,Pago Parcial,Norte,"El paciente acudió a emergencia por dolor abdominal agudo, requirió cirugía.",Sí,PRV-0005,Intermediario Cuenca #5,93,272,3,0,0
SIN-000065,POL-00171,ASG-00042,,ASG-00042,Vehículos,Robo,2023-02-08,2023-03-06,25043.7,25015.63,23201.52,Cierre Sin Consecuencia,Sur,"El vehículo fue sustraído durante la madrugada, el asegurado no recuerda detalles exactos del lugar.",No,PRV-0027,Abogado Ambato #27,1,364,26,0,1
SIN-000066,POL-00196,ASG-00238,VEH-00138,ASG-00238,Vida,Enfermedad Grave,2023-09-17,2023-09-22,34501.57,22723.86,0.0,Pago Total,Oriente,Daños en la parte trasera del vehículo por choque en cadena en hora pico.,Sí,PRV-0030,Taller Guayaquil #30,59,306,5,1,0
SIN-000067,POL-00105,ASG-00062,,ASG-00147,Salud,Hospitalización,2025-02-24,2025-02-25,4853.38,5008.18,4460.12,Anticipo,Costa,Impacto frontal contra poste de alumbrado al intentar esquivar un peatón.,Sí,PRV-0018,Clínica Riobamba #18,250,115,1,0,0
SIN-000068,POL-00134,ASG-00235,VEH-00133,ASG-00067,Vehículos,Daño Parcial,2024-09-19,2024-09-24,27354.74,26424.6,0.0,Anticipo,Costa,Inundación por tubería rota que afectó pisos y paredes del primer nivel.,Sí,PRV-0032,Hospital Ambato #32,48,317,5,1,0
SIN-000069,POL-00072,ASG-00070,VEH-00224,ASG-00070,Generales,Daño,2024-01-07,2024-01-08,8658.85,9208.81,0.0,Negativa,Sur,"Incendio en cocina del domicilio, daños en muebles y estructura.",Sí,PRV-0028,Hospital Machala #28,162,203,1,1,0
SIN-000070,POL-00005,ASG-00215,VEH-00030,ASG-00140,Vehículos,Volcadura,2024-03-28,2024-04-02,11953.01,9391.0,0.0,Liquidado,Sur,Colisión lateral en la autopista debido a cambio de carril imprudente del otro conductor.,Sí,PRV-0015,Perito Portoviejo #15,177,188,5,0,0
SIN-000071,POL-00203,ASG-00220,,ASG-00175,Salud,Emergencia,2024-01-04,2024-02-02,53701.99,53615.41,51787.38,Reserva,Costa,"Choque frontal sin testigos en zona solitaria durante la noche, el otro vehículo huyó.",No,PRV-0015,Perito Portoviejo #15,358,7,29,0,1
SIN-000072,POL-00071,ASG-00184,,ASG-00134,Generales,Robo,2023-01-28,2023-02-10,8822.74,6327.47,5551.36,Liquidado,Oriente,El asegurado reporta daño severo pero las fotos no coinciden con la descripción del impacto.,Sí,PRV-0011,Perito Portoviejo #11,7,358,13,0,1
SIN-000073,POL-00063,ASG-00054,VEH-00341,ASG-00054,Vida,Enfermedad Grave,2025-01-11,2025-01-12,68544.44,54557.25,45291.41,Liquidado,Oriente,Hospitalización por fractura de fémur tras caída en el trabajo.,Sí,PRV-0014,Taller Riobamba #14,87,278,1,1,0
SIN-000074,POL-00059,ASG-00184,,ASG-00184,Hogar,Robo,2024-08-12,2024-08-15,26996.41,16623.25,14834.51,Anticipo,Centro,Hospitalización por fractura de fémur tras caída en el trabajo.,Sí,PRV-0026,Intermediario Manta #26,200,165,3,0,0
SIN-000075,POL-00152,ASG-00031,VEH-00223,ASG-00031,Vehículos,Choque,2024-08-27,2024-08-27,45280.14,33657.39,31552.95,Reserva,Centro,Colisión lateral en la autopista debido a cambio de carril imprudente del otro conductor.,Sí,PRV-0017,Hospital Ibarra #17,63,302,0,0,0
SIN-000076,POL-00143,ASG-00221,VEH-00006,ASG-00221,Generales,Incendio,2023-02-15,2023-02-15,13041.02,10495.03,10479.87,Liquidado,Oriente,"El vehículo fue sustraído durante la madrugada, el asegurado no recuerda detalles exactos del lugar.",No,PRV-0022,Clínica Cuenca #22,8,357,0,1,1
SIN-000077,POL-00025,ASG-00162,VEH-00288,ASG-00016,Vehículos,Choque,2024-01-06,2024-01-11,6328.89,5399.06,0.0,Anticipo,Centro,"Choque por alcance en semáforo, el conductor de atrás no frenó a tiempo.",Sí,PRV-0030,Taller Guayaquil #30,108,257,5,1,0
SIN-000078,POL-00092,ASG-00087,VEH-00055,ASG-00087,Salud,Hospitalización,2025-02-05,2025-02-09,22358.8,22587.52,0.0,Negativa,Costa,"El asegurado fue víctima de asalto, le sustrajeron el vehículo con amenaza.",Sí,PRV-0016,Abogado Guayaquil #16,189,176,4,0,0
SIN-000079,POL-00267,ASG-00023,VEH-00166,ASG-00023,Salud,Emergencia,2023-06-07,2023-06-10,9842.37,9637.3,9566.41,Cierre Sin Consecuencia,Sur,"El asegurado fue víctima de asalto, le sustrajeron el vehículo con amenaza.",Sí,PRV-0026,Intermediario Manta #26,100,265,3,0,0
SIN-000080,POL-00325,ASG-00159,VEH-00101,ASG-00013,Vida,Incapacidad,2024-10-15,2024-10-20,7665.3,5318.65,4815.25,Liquidado,Oriente,"Daño por granizo severo que afectó capó, techo y panel lateral.",Sí,PRV-0006,Taller Riobamba #6,103,262,5,1,0
SIN-000081,POL-00040,ASG-00231,VEH-00019,ASG-00231,Generales,Robo,2024-01-05,2024-01-28,53532.39,56826.03,48580.82,Anticipo,Oriente,Pérdida total por volcadura en vía recta sin obstáculos visibles según fotos del lugar.,No,PRV-0008,Grúa Manta #8,256,109,23,1,1
SIN-000082,POL-00200,ASG-00135,VEH-00146,ASG-00082,Vehículos,Choque,2024-09-26,2024-09-26,6092.72,6497.99,5484.38,Pago Parcial,Norte,Colisión lateral en la autopista debido a cambio de carril imprudente del otro conductor.,Sí,PRV-0028,Hospital Machala #28,94,271,0,2,0
SIN-000083,POL-00146,ASG-00140,VEH-00155,ASG-00140,Salud,Emergencia,2023-09-10,2023-09-11,4976.35,3816.52,3491.46,Anticipo,Norte,Inundación por tubería rota que afectó pisos y paredes del primer nivel.,Sí,PRV-0007,Perito Ambato #7,40,325,1,1,0
SIN-000084,POL-00085,ASG-00014,VEH-00281,ASG-00014,Vida,Incapacidad,2023-12-10,2023-12-11,41582.1,43786.09,42552.69,Cierre Sin Consecuencia,Oriente,"Robo del vehículo en estacionamiento del centro comercial, no hay cámaras disponibles.",Sí,PRV-0008,Grúa Manta #8,55,310,1,0,0
SIN-000085,POL-00153,ASG-00204,,ASG-00002,Salud,Emergencia,2024-07-31,2024-08-03,44621.5,29690.98,27007.06,Pago Total,Sur,"Accidente en vía mojada, el vehículo perdió tracción y colisionó contra la baranda.",Sí,PRV-0022,Clínica Cuenca #22,96,269,3,2,0
SIN-000086,POL-00298,ASG-00130,,ASG-00130,Hogar,Incendio,2025-06-23,2025-06-24,10054.59,6198.77,5941.81,Pago Total,Oriente,Daños en la parte trasera del vehículo por choque en cadena en hora pico.,Sí,PRV-0011,Perito Portoviejo #11,197,168,1,1,0
SIN-000087,POL-00278,ASG-00147,VEH-00157,ASG-00147,Vida,Incapacidad,2024-10-18,2024-10-21,4428.78,3023.98,0.0,Reserva,Sur,"Incendio en cocina del domicilio, daños en muebles y estructura.",Sí,PRV-0005,Intermediario Cuenca #5,117,248,3,0,0
SIN-000088,POL-00091,ASG-00163,VEH-00059,ASG-00163,Vehículos,Pérdida Total por Robo (PTxRB),2025-09-14,2025-09-17,9066.11,8156.73,8119.57,Cierre Sin Consecuencia,Norte,"Choque por alcance en semáforo, el conductor de atrás no frenó a tiempo.",Sí,PRV-0023,Hospital Santo Domingo #23,333,32,3,1,0
SIN-000089,POL-00205,ASG-00229,VEH-00153,ASG-00185,Salud,Atención Médica,2023-08-12,2023-08-17,34400.86,22111.31,20999.92,Liquidado,Oriente,El vehículo fue impactado por otro automóvil en la intersección de la Av. Principal con calle secundaria.,Sí,PRV-0004,Grúa Quito #4,114,251,5,0,0
SIN-000090,POL-00273,ASG-00225,VEH-00076,ASG-00225,Hogar,Daño por Agua,2024-01-28,2024-02-01,16597.36,17304.65,14110.89,Pago Total,Costa,"El asegurado fue víctima de asalto, le sustrajeron el vehículo con amenaza.",Sí,PRV-0004,Grúa Quito #4,100,265,4,0,0
SIN-000091,POL-00210,ASG-00137,VEH-00128,ASG-00137,Generales,Incendio,2024-09-07,2024-09-10,1802.46,1775.45,0.0,Liquidado,Sierra,El asegurado reporta que un vehículo no identificado impactó su auto estacionado.,Sí,PRV-0020,Intermediario Riobamba #20,281,84,3,3,0
